agent_id,steps_taken,avg_decision_time,mistakes_made,environment_type,success,behavior_cluster
1,112,4.65394234672517,0,hard,1,0
2,189,2.8281381757682564,3,easy,0,0
3,102,2.9009021784025095,13,easy,1,1
4,24,1.4718975589353926,0,easy,1,2
5,116,3.870515372640491,13,easy,1,1
6,81,1.0165143679318647,15,easy,1,1
7,198,1.6860282583807942,13,easy,1,1
8,30,2.1846385492204425,19,hard,0,1
9,112,2.58729085555383,2,hard,0,0
10,131,1.2878076888338934,2,medium,0,0
11,84,0.6627004412220974,8,hard,0,2
12,97,3.092038207964,5,hard,1,2
13,126,1.5142897108772535,12,easy,1,1
14,109,2.9480672849708003,1,easy,1,0
15,113,0.8563773048435913,7,hard,1,0
16,161,2.457586499088606,1,medium,1,0
17,140,2.709688219502771,3,easy,1,0
18,159,0.3539353304298919,14,hard,0,1
19,62,1.749360963150211,3,hard,1,2
20,11,0.7586319170009738,12,medium,0,2
21,97,0.410537355316562,11,medium,0,1
22,167,4.950805138710732,12,easy,1,1
23,47,1.6795338403761428,13,medium,0,2
24,139,4.068384784687711,19,hard,0,1
25,197,1.347739208342443,17,hard,0,1
26,30,3.4393633388972535,5,medium,1,2
27,170,3.8251165134594647,10,medium,0,0
28,67,3.0186298289784372,1,medium,0,2
29,31,2.4107233238957764,18,medium,0,1
30,98,2.118020479321616,18,easy,1,1
31,58,1.8094545060606773,4,medium,1,2
32,68,4.654692806814347,18,easy,0,1
33,179,4.170035098159873,1,hard,0,0
34,197,4.828631862265912,9,medium,1,0
35,24,0.7090563950791692,1,easy,0,2
36,199,3.6812506284978572,10,medium,0,0
37,199,4.697868238423085,17,hard,0,1
38,184,0.9880420242117348,14,hard,0,1
39,199,0.42583171009720977,8,hard,0,0
40,60,3.7314911815212897,18,medium,0,1
41,117,2.9149182545815684,8,medium,0,0
42,64,4.224961006115533,2,easy,1,2
43,73,0.7848846454688185,8,hard,0,2
44,140,3.9968098281134625,13,medium,1,1
45,60,1.0879738682339484,18,hard,0,1
46,144,0.9019141200419521,6,hard,1,0
47,30,0.9049024098618654,15,easy,1,1
48,82,4.091416129133773,15,easy,1,1
49,176,3.359466381411381,0,easy,1,0
50,27,2.663020581368685,3,easy,1,2
51,141,1.8582693722051624,3,hard,0,0
52,98,4.398282649984231,6,easy,1,2
53,69,2.0229810263709136,7,easy,1,2
54,23,4.101337253410728,16,easy,1,2
55,18,2.2517610519940705,4,easy,1,2
56,99,1.9470277041820474,6,hard,1,0
57,62,2.367130949781072,19,easy,0,1
58,139,1.5767515834042964,19,hard,0,1
59,93,3.763285962863631,3,medium,1,2
60,101,2.563329911453148,5,hard,1,0
61,120,1.237842206219405,6,hard,1,0
62,197,4.507915409045386,17,easy,0,1
63,181,1.981066984728736,4,medium,0,0
64,17,2.7634090194585443,19,medium,0,1
65,184,4.54171334372628,2,medium,1,0
66,44,3.1587661799785614,6,medium,1,2
67,90,0.6728003994709839,13,hard,0,1
68,173,4.705177405706028,6,medium,1,0
69,59,3.1757694600499478,4,hard,0,2
70,113,1.7410375118197223,4,hard,0,0
71,141,0.7824331560505976,1,hard,0,0
72,11,3.9907234274244505,5,medium,1,2
73,143,3.1383565040497166,14,easy,0,1
74,63,2.7139593506839756,9,easy,1,2
75,115,4.480073656949693,6,medium,0,0
76,13,3.964126335000201,4,easy,1,2
77,63,0.8432069106904808,0,easy,1,2
78,155,1.6274381321981866,12,hard,0,1
79,53,1.3175967850908823,17,hard,0,1
80,171,3.7453368336061175,12,medium,0,1
81,199,0.264308930205319,17,medium,0,1
82,23,2.892459455869451,4,easy,1,2
83,104,3.836047560129384,12,hard,1,1
84,57,4.3961516201325725,3,medium,1,2
85,24,1.7762005687079467,16,medium,1,1
86,199,4.124160792892863,2,medium,1,0
87,49,0.6420955110805154,16,medium,1,1
88,91,4.2476162294991395,10,medium,0,2
89,120,0.7246944454267139,19,medium,0,1
90,62,2.0467077237458,3,easy,1,2
91,33,4.006747292319813,1,hard,0,2
92,163,0.8345953940089915,19,hard,0,1
93,197,1.2233318366399435,15,medium,0,1
94,133,3.639037585126025,17,hard,0,1
95,50,3.6281790290757647,7,hard,1,2
96,166,3.241623401137957,2,hard,0,0
97,24,3.5003473778887906,8,medium,1,2
98,54,2.7593497724032217,19,medium,0,1
99,74,1.3338153886440687,5,hard,0,2
100,98,1.7939103681692055,9,hard,0,2
101,80,0.9898288123269858,9,medium,0,2
102,18,4.5514077505347785,12,easy,1,2
103,97,2.9586197943539907,16,hard,1,1
104,138,2.0641719421418356,8,easy,0,0
105,145,2.36382843785625,16,hard,0,1
106,72,4.741688364097895,8,easy,0,2
107,148,0.851421875268793,8,easy,0,0
108,90,2.972526176882307,0,easy,0,2
109,145,2.5788545265338834,1,medium,1,0
110,172,3.096125753629775,15,easy,0,1
111,172,0.1887399007221185,0,easy,0,0
112,42,4.373407153826342,9,easy,1,2
113,132,4.667379584169701,17,hard,0,1
114,14,2.869152599587124,7,easy,0,2
115,50,3.5135890369967724,10,hard,0,2
116,37,4.6202469677687485,1,easy,1,2
117,144,3.5654693081356537,7,easy,1,0
118,81,0.8474413102798807,7,medium,1,2
119,21,2.923812964817385,16,hard,0,2
120,171,3.0729037272759943,14,easy,0,1
121,42,2.1782402893816917,16,hard,0,1
122,57,3.7085767545611423,12,hard,1,2
123,160,4.678398372368172,18,medium,0,1
124,71,4.635285713243204,4,medium,1,2
125,46,2.3091129198802474,11,medium,0,2
126,108,0.6548664246197008,0,medium,0,0
127,181,4.925721874915439,4,medium,1,0
128,113,4.210600623585077,7,medium,0,2
129,44,0.7108471378960075,12,medium,1,2
130,110,4.6121252248251245,7,medium,1,2
131,184,4.362492174104428,10,easy,0,0
132,140,2.6423064799177536,0,hard,1,0
133,10,2.9972496351501534,12,medium,0,2
134,14,2.0551132489636386,18,medium,0,1
135,151,0.3683320302279536,2,hard,1,0
136,112,1.7424664840649147,16,easy,1,1
137,36,4.033981898130256,4,hard,1,2
138,146,0.12269691272255401,19,hard,0,1
139,24,1.7341459412866067,7,medium,1,2
140,99,2.051026598595622,13,hard,0,1
141,51,2.7332384543958224,3,hard,1,2
142,133,4.607292520422527,10,medium,0,0
143,188,1.7970953723932104,19,medium,0,1
144,72,1.800070689291516,14,medium,0,1
145,105,3.7137561157377674,18,medium,1,1
146,61,2.3158679103600552,6,hard,1,2
147,105,1.2005636324059117,18,hard,0,1
148,141,2.316953629050198,18,easy,0,1
149,160,0.7901993998610193,10,easy,1,0
150,152,0.9642962338804942,4,hard,0,0
151,180,2.542002086423451,4,easy,0,0
152,38,2.152734702572285,7,hard,0,2
153,45,4.5827449152336905,9,easy,1,2
154,22,1.8757301056715026,5,medium,0,2
155,169,2.9448829163624133,14,easy,0,1
156,80,3.1980950108056994,15,medium,0,1
157,196,0.16416283728283482,16,medium,0,1
158,95,3.3513331228818823,7,medium,0,2
159,37,0.972376237661782,7,medium,1,2
160,75,4.80924455560033,8,easy,1,2
161,179,0.8284473659902535,1,hard,0,0
162,54,2.1316582062624163,14,medium,0,1
163,71,0.5182133735853549,17,easy,0,1
164,194,4.984683834045142,2,medium,1,0
165,143,2.560755550623089,16,easy,1,1
166,37,3.017386584868215,3,easy,0,2
167,37,0.4286747392032947,3,easy,1,2
168,117,3.7748063049559715,13,hard,0,1
169,53,1.1285374061683704,8,easy,0,2
170,93,4.500466018259497,8,easy,0,2
171,39,1.1051842383618353,17,hard,0,1
172,199,1.0343698312519662,9,hard,0,0
173,84,0.2790933724556649,3,easy,1,0
174,137,2.4131280310389966,11,hard,0,1
175,101,2.8677215529868207,7,medium,1,2
176,199,0.4219723331989266,1,medium,1,0
177,138,3.9000853218055522,12,hard,0,1
178,130,2.3211152902653356,15,hard,0,1
179,36,2.6695123197051425,1,easy,1,2
180,199,2.2597374599973183,10,hard,0,0
181,130,2.0637389982890975,9,easy,1,0
182,125,2.8422376234102678,14,medium,1,1
183,12,0.8606772050604913,16,hard,0,1
184,112,0.9914478394268286,7,easy,0,0
185,164,4.322749542966235,17,easy,0,1
186,146,4.7359657644548,8,medium,1,0
187,71,1.9292156497707897,7,hard,1,2
188,174,1.4266488984034136,13,medium,0,1
189,60,3.2555977618711776,17,easy,0,1
190,181,2.1027974383806725,19,easy,0,1
191,161,0.22439314273568983,19,hard,0,1
192,68,0.8651477270943327,11,easy,0,1
193,127,3.6082639213522483,18,hard,0,1
194,169,3.328727315359742,13,medium,0,1
195,105,0.23277036326706912,16,hard,0,1
196,189,1.1876635934714523,2,hard,0,0
197,122,1.23226650328155,6,easy,0,0
198,71,3.3922744436337697,16,easy,1,1
199,195,0.19658163499638437,11,hard,0,0
200,61,0.6101320517244119,8,easy,1,2
201,21,4.019588818328628,14,easy,0,2
202,48,0.9748688440662348,17,easy,1,1
